"state","location","any.both_sexes_2003","any.females_2003","any.males_2003"
"New Mexico","Santa Fe County",68.3,63.4,73.4
"New Mexico","Los Alamos County",67.7,63.6,71.9
"New Mexico","Lincoln County",61.4,53,70.1
"New Mexico","Bernalillo County",61.3,54,68.9
"New Mexico","Taos County",60.9,53.6,68.4
"New Mexico","Sandoval County",60.6,54.2,67.3
"New Mexico","Colfax County",57.6,48.6,66.9
"New Mexico","San Miguel County",57,47.9,66.4
"New Mexico","New Mexico",55.9,47.5,64.6
"New Mexico","Sierra County",55.9,48.4,63.7
"New Mexico","Harding County",55.7,47.2,64.4
"New Mexico","Grant County",55,43.4,67
"New Mexico","Dona Ana County",54.8,45.6,64.3
"New Mexico","Union County",54.5,43.2,66.2
"New Mexico","Rio Arriba County",52.8,43.1,62.8
"New Mexico","Otero County",52.6,43.5,62.1
"New Mexico","Valencia County",52,41.6,62.9
"New Mexico","Guadalupe County",51.5,39.8,63.6
"New Mexico","Torrance County",51.4,41.5,61.7
"New Mexico","Mora County",50.7,39.4,62.4
"New Mexico","Chaves County",50.3,39.4,61.5
"New Mexico","Socorro County",49.8,39.8,60.1
"New Mexico","Hidalgo County",49.6,36.7,62.9
"New Mexico","Catron County",49.2,42.1,56.6
"New Mexico","De Baca County",48.7,38.1,59.7
"New Mexico","Eddy County",48.4,36.5,60.7
"New Mexico","Luna County",47.9,36.2,60.1
"New Mexico","Curry County",46.3,34.4,58.6
"New Mexico","San Juan County",44,35.4,53
"New Mexico","Cibola County",43.9,33.9,54.3
"New Mexico","Roosevelt County",43.6,33.1,54.5
"New Mexico","Lea County",43.5,31.2,56.2
"New Mexico","Quay County",43.5,32.1,55.2
"New Mexico","McKinley County",38.7,30.1,47.6
